customer_id,item,amount_usd,date_purchase,rating,payment_method,date_purchase,year,month,day,weekday
4018,handbag,303.875,05-02-2023,3.0,credit card,2023-02-05,2023,2,5,Sunday
4115,tunic,303.875,11-07-2023,2.0,credit card,2023-07-11,2023,7,11,Tuesday
4019,tank top,303.875,23-03-2023,4.1,cash,2023-03-23,2023,3,23,Thursday
4097,leggings,303.875,15-03-2023,3.2,cash,2023-03-15,2023,3,15,Wednesday
3997,wallet,303.875,27-11-2022,4.7,cash,2022-11-27,2022,11,27,Sunday
4080,onesie,303.875,11-12-2022,4.5,credit card,2022-12-11,2022,12,11,Sunday
4055,jacket,303.875,08-07-2023,1.3,cash,2023-07-08,2023,7,8,Saturday
3973,trousers,303.875,10-11-2022,4.6,cash,2022-11-10,2022,11,10,Thursday
4044,jeans,303.875,19-05-2023,4.1,cash,2023-05-19,2023,5,19,Friday
4010,loafers,303.875,11-06-2023,3.0,credit card,2023-06-11,2023,6,11,Sunday
4108,slippers,303.875,19-03-2023,4.8,credit card,2023-03-19,2023,3,19,Sunday
4067,bowtie,303.875,21-11-2022,3.4,cash,2022-11-21,2022,11,21,Monday
4068,pajamas,303.875,09-12-2022,3.0,credit card,2022-12-09,2022,12,9,Friday
4102,trench coat,303.875,29-01-2023,4.8,cash,2023-01-29,2023,1,29,Sunday
4044,handbag,303.875,01-08-2023,1.2,credit card,2023-08-01,2023,8,1,Tuesday
4096,poncho,303.875,10-04-2023,3.0,credit card,2023-04-10,2023,4,10,Monday
4017,gloves,303.875,17-07-2023,3.6,credit card,2023-07-17,2023,7,17,Monday
4001,trench coat,303.875,13-06-2023,2.2,cash,2023-06-13,2023,6,13,Tuesday
3976,slippers,303.875,18-06-2023,4.9,credit card,2023-06-18,2023,6,18,Sunday
4103,romper,303.875,21-11-2022,3.0,credit card,2022-11-21,2022,11,21,Monday
4081,t-shirt,303.875,25-03-2023,3.0,cash,2023-03-25,2023,3,25,Saturday
3986,gloves,303.875,05-04-2023,4.2,cash,2023-04-05,2023,4,5,Wednesday
4108,jeans,303.875,11-02-2023,4.4,credit card,2023-02-11,2023,2,11,Saturday
4109,flip-flops,303.875,20-12-2022,4.0,credit card,2022-12-20,2022,12,20,Tuesday
4075,tunic,303.875,12-04-2023,1.2,credit card,2023-04-12,2023,4,12,Wednesday
4040,shorts,303.875,25-08-2023,3.8,cash,2023-08-25,2023,8,25,Friday
4099,blazer,303.875,25-10-2022,2.7,credit card,2022-10-25,2022,10,25,Tuesday
3981,boots,303.875,10-09-2023,2.8,credit card,2023-09-10,2023,9,10,Sunday
4070,poncho,303.875,04-08-2023,4.9,cash,2023-08-04,2023,8,4,Friday
4002,belt,303.875,26-05-2023,1.8,cash,2023-05-26,2023,5,26,Friday
4035,tunic,303.875,23-12-2022,1.2,credit card,2022-12-23,2022,12,23,Friday
4060,boots,303.875,26-01-2023,3.4,credit card,2023-01-26,2023,1,26,Thursday
3974,flip-flops,303.875,16-04-2023,4.0,cash,2023-04-16,2023,4,16,Sunday
4110,hoodie,303.875,11-10-2022,4.2,credit card,2022-10-11,2022,10,11,Tuesday
3984,sweater,303.875,19-12-2022,5.0,cash,2022-12-19,2022,12,19,Monday
4109,blouse,303.875,02-03-2023,3.0,credit card,2023-03-02,2023,3,2,Thursday
4054,swimsuit,303.875,28-02-2023,4.3,cash,2023-02-28,2023,2,28,Tuesday
4040,kimono,303.875,12-05-2023,3.0,credit card,2023-05-12,2023,5,12,Friday
4083,cardigan,303.875,09-04-2023,1.7,cash,2023-04-09,2023,4,9,Sunday
4122,socks,303.875,22-02-2023,3.0,credit card,2023-02-22,2023,2,22,Wednesday
3972,pants,303.875,06-05-2023,3.6,cash,2023-05-06,2023,5,6,Saturday
3980,pajamas,303.875,26-05-2023,2.2,credit card,2023-05-26,2023,5,26,Friday
4012,scarf,303.875,29-05-2023,2.9,credit card,2023-05-29,2023,5,29,Monday
3992,backpack,101.0,13-12-2022,1.3,credit card,2022-12-13,2022,12,13,Tuesday
4105,dress,164.0,20-10-2022,3.2,credit card,2022-10-20,2022,10,20,Thursday
4119,boots,21.0,03-04-2023,3.9,cash,2023-04-03,2023,4,3,Monday
3957,camisole,147.0,04-11-2022,4.7,cash,2022-11-04,2022,11,4,Friday
3994,loafers,,16-05-2023,3.9,cash,2023-05-16,2023,5,16,Tuesday
3995,bowtie,30.0,23-11-2022,4.1,cash,2022-11-23,2022,11,23,Wednesday
4072,poncho,170.0,15-10-2022,3.6,credit card,2022-10-15,2022,10,15,Saturday
4093,trousers,102.0,25-05-2023,2.1,cash,2023-05-25,2023,5,25,Thursday
4031,blouse,190.0,14-01-2023,3.0,cash,2023-01-14,2023,1,14,Saturday
4056,sneakers,,02-11-2022,3.0,credit card,2022-11-02,2022,11,2,Wednesday
4114,leggings,84.0,15-06-2023,3.8,cash,2023-06-15,2023,6,15,Thursday
4104,backpack,69.0,27-05-2023,2.1,cash,2023-05-27,2023,5,27,Saturday
4071,tunic,107.0,03-12-2022,1.5,cash,2022-12-03,2022,12,3,Saturday
4007,dress,172.0,05-04-2023,1.9,cash,2023-04-05,2023,4,5,Wednesday
4009,flannel shirt,51.0,16-04-2023,1.8,cash,2023-04-16,2023,4,16,Sunday
4038,tie,63.0,13-02-2023,4.3,cash,2023-02-13,2023,2,13,Monday
4033,backpack,189.0,31-08-2023,4.9,cash,2023-08-31,2023,8,31,Thursday
4102,cardigan,175.0,05-06-2023,3.6,credit card,2023-06-05,2023,6,5,Monday
4034,tunic,,01-07-2023,1.5,credit card,2023-07-01,2023,7,1,Saturday
4068,jeans,146.0,26-08-2023,1.1,cash,2023-08-26,2023,8,26,Saturday
4045,gloves,51.0,27-01-2023,2.5,credit card,2023-01-27,2023,1,27,Friday
3979,camisole,79.0,05-06-2023,1.3,cash,2023-06-05,2023,6,5,Monday
4106,trousers,173.0,07-09-2023,3.4,credit card,2023-09-07,2023,9,7,Thursday
3959,trousers,66.0,02-11-2022,4.5,cash,2022-11-02,2022,11,2,Wednesday
4113,boots,24.0,20-01-2023,1.2,credit card,2023-01-20,2023,1,20,Friday
4087,scarf,18.0,21-11-2022,1.7,credit card,2022-11-21,2022,11,21,Monday
4060,polo shirt,112.0,08-06-2023,1.2,cash,2023-06-08,2023,6,8,Thursday
3989,sweater,64.0,13-03-2023,3.2,credit card,2023-03-13,2023,3,13,Monday
4032,wallet,155.0,08-03-2023,1.1,credit card,2023-03-08,2023,3,8,Wednesday
3972,boots,90.0,26-01-2023,4.6,credit card,2023-01-26,2023,1,26,Thursday
4051,umbrella,137.0,30-06-2023,4.6,cash,2023-06-30,2023,6,30,Friday
4097,tank top,174.0,10-10-2022,3.4,cash,2022-10-10,2022,10,10,Monday
3970,camisole,77.0,05-01-2023,2.4,cash,2023-01-05,2023,1,5,Thursday
3957,gloves,,16-05-2023,2.7,cash,2023-05-16,2023,5,16,Tuesday
4100,loafers,147.0,02-03-2023,3.9,credit card,2023-03-02,2023,3,2,Thursday
4048,pajamas,159.0,08-11-2022,1.2,credit card,2022-11-08,2022,11,8,Tuesday
3985,flannel shirt,159.0,05-03-2023,2.6,cash,2023-03-05,2023,3,5,Sunday
4029,leggings,66.0,16-06-2023,3.7,cash,2023-06-16,2023,6,16,Friday
3964,hat,45.0,17-03-2023,4.8,cash,2023-03-17,2023,3,17,Friday
4017,bowtie,33.0,28-09-2023,3.3,credit card,2023-09-28,2023,9,28,Thursday
4067,handbag,38.0,25-05-2023,3.1,cash,2023-05-25,2023,5,25,Thursday
4108,t-shirt,,10-09-2023,2.5,credit card,2023-09-10,2023,9,10,Sunday
4057,jacket,,02-01-2023,4.7,cash,2023-01-02,2023,1,2,Monday
4117,kimono,162.0,16-04-2023,1.1,cash,2023-04-16,2023,4,16,Sunday
4038,jacket,,27-10-2022,4.8,credit card,2022-10-27,2022,10,27,Thursday
4054,socks,129.0,23-12-2022,3.0,cash,2022-12-23,2022,12,23,Friday
4060,sweater,151.0,17-07-2023,3.2,cash,2023-07-17,2023,7,17,Monday
4054,handbag,12.0,29-12-2022,2.6,credit card,2022-12-29,2022,12,29,Thursday
4068,pants,39.0,21-03-2023,2.4,credit card,2023-03-21,2023,3,21,Tuesday
4096,scarf,147.0,11-02-2023,4.1,credit card,2023-02-11,2023,2,11,Saturday
4011,blouse,174.0,21-04-2023,3.4,cash,2023-04-21,2023,4,21,Friday
4001,hoodie,85.0,17-09-2023,3.3,cash,2023-09-17,2023,9,17,Sunday
4078,hat,126.0,29-06-2023,2.1,credit card,2023-06-29,2023,6,29,Thursday
3992,slippers,,26-04-2023,2.9,cash,2023-04-26,2023,4,26,Wednesday
4005,sun hat,194.0,16-12-2022,2.9,credit card,2022-12-16,2022,12,16,Friday
4099,scarf,138.0,20-05-2023,2.9,credit card,2023-05-20,2023,5,20,Saturday
4055,boots,139.0,05-01-2023,1.9,credit card,2023-01-05,2023,1,5,Thursday
